mae,rmse,crps,dir_acc,coverage,interval_width,mase,actual,predicted,q10,q90,origin_price,as_of,horizon,regime,c2_median,bolt_median,signed_error
3.8377761840820312,3.8377761840820312,1.2547508239746092,1.0,1.0,18.453644,0.926999214946244,75.44000244140625,79.27778,70.68041,89.134056,79.58000183105469,2024-04-25,30,down,80.49178,77.456764,3.8377761840820312
7.3205108642578125,7.3205108642578125,2.0783673604329427,1.0,1.0,25.748466,0.774656859064564,70.12999725341797,77.45051,65.58353,91.33199,79.58000183105469,2024-04-25,60,down,80.5128,72.85707,7.3205108642578125
4.950874328613281,4.950874328613281,1.7177955627441406,1.0,1.0,26.779495,0.5613236394462201,70.76000213623047,75.71088,63.829575,90.60907,79.58000183105469,2024-04-25,90,down,80.36992,68.72231,4.950874328613281
10.845558166503906,10.845558166503906,3.2012769063313797,1.0,0.0,18.285812,0.7531636817546757,67.31999969482422,78.16556,69.67247,87.95828,81.72000122070312,2024-05-23,30,sideways,79.153015,76.68437,10.845558166503906
6.7884979248046875,6.7884979248046875,1.9622367858886716,1.0,1.0,24.924614,0.4940683391738375,67.9800033569336,74.7685,63.519974,88.44459,81.72000122070312,2024-05-23,60,sideways,79.37488,67.85893,6.7884979248046875
1.312591552734375,1.312591552734375,1.1111891428629557,1.0,1.0,26.772717,0.15052653314061532,73.0,74.31259,62.726948,89.499664,81.72000122070312,2024-05-23,90,sideways,79.42591,66.64261,1.312591552734375
1.107818603515625,1.107818603515625,0.8601318359375,1.0,1.0,20.264862,0.233717110293088,66.55000305175781,67.65782,57.948975,78.21384,71.29000091552734,2024-06-24,30,down,71.14816,62.422302,1.107818603515625
3.226470947265625,3.226470947265625,1.4557483673095701,1.0,1.0,27.540096,6.721767464038782,70.80999755859375,67.58353,54.446224,81.98632,71.29000091552734,2024-06-24,60,down,71.781006,61.2873,-3.226470947265625
2.6938629150390625,2.6938629150390625,1.4334055582682292,1.0,1.0,29.532852,3.690206201728625,70.55999755859375,67.866135,54.35479,83.88764,71.29000091552734,2024-06-24,90,down,72.43694,61.00991,-2.6938629150390625
0.22669219970703125,0.22669219970703125,0.610715103149414,1.0,1.0,17.187992,0.0830373336835957,70.76000213623047,70.53331,62.403255,79.59125,68.02999877929688,2024-07-23,30,sideways,71.57219,68.975,-0.22669219970703125
0.1719970703125,0.1719970703125,0.8136637369791666,1.0,1.0,23.549927,0.06640803353393603,70.62000274658203,70.792,59.740753,83.29068,68.02999877929688,2024-07-23,60,sideways,71.69344,69.439835,0.1719970703125
