mae,rmse,crps,dir_acc,coverage,interval_width,mase,actual,predicted,q10,q90,origin_price,as_of,horizon
29.08802820035011,29.08802820035011,12.689599994254039,0.0,0.0,13.80622906394997,1.7725790194376516,77.0,106.08802820035011,99.14416297619206,112.95039204014203,93.41000366210938,2024-03-26,30
17.90644512145991,17.90644512145991,7.013478357756246,1.0,0.0,13.967080811162575,0.7937252217917891,70.8499984741211,88.756443595581,81.54050290554362,95.5075837167062,93.41000366210938,2024-03-26,60
9.113028122704009,9.113028122704009,2.5301012192579515,1.0,0.0,14.176221127812127,0.3474276384450056,67.18000030517578,76.29302842787979,68.79616778881642,82.97238891662855,93.41000366210938,2024-03-26,90
9.896497432980482,9.896497432980482,2.918457533114451,0.0,0.0,16.154620513081795,1.9519719977662842,74.44000244140625,84.33649987438673,76.63166427295118,92.78628478603298,79.51000213623047,2024-04-24,30
18.043740040522287,18.043740040522287,6.896034765845556,1.0,0.0,15.893803272099426,1.8933622614643775,69.9800033569336,51.936263316411306,44.009346134768585,59.90314940686801,79.51000213623047,2024-04-24,60
13.286527421644564,13.286527421644564,4.639503266720564,1.0,0.0,15.111150572972392,1.3669265178017584,69.79000091552734,56.50347349388278,48.91471931051278,64.02586988348517,79.51000213623047,2024-04-24,90
40.88436428333237,40.88436428333237,18.612508348798386,1.0,0.0,13.890674696618763,3.387271360152904,67.30999755859375,26.425633275261383,19.41304742690789,33.303722123526654,79.37999725341797,2024-05-22,30
61.102406489797445,61.102406489797445,28.67381143466952,1.0,0.0,14.031773926920879,4.729289098249568,66.45999908447266,5.357592594675211,-1.6388285088659704,12.392945418054909,79.37999725341797,2024-05-22,60
96.63455595252086,96.63455595252086,46.334170469968036,1.0,0.0,14.755936757010845,16.603876463852547,73.55999755859375,-23.074558393927106,-30.405578956359697,-15.649642199348852,79.37999725341797,2024-05-22,90
52.934238594085,52.934238594085,24.748421850680824,1.0,0.0,13.708424134622806,52.41002637048495,67.18000030517578,14.245761711090779,7.064272329015291,20.7726964636381,68.19000244140625,2024-06-21,30
96.78548845912708,96.78548845912708,46.6177152861955,0.0,0.0,13.08016298634793,27.186953604922902,71.75,-25.03548845912708,-31.482548316736064,-18.402385330388135,68.19000244140625,2024-06-21,60
102.5117169930142,102.5117169930142,49.36762387073541,0.0,0.0,13.031447273951816,47.24046243911723,70.36000061035156,-32.15171638266264,-38.21531505190419,-25.183867777952376,68.19000244140625,2024-06-21,90
31.532376506350644,31.532376506350644,14.558576428497934,1.0,0.0,8.9534902430007,92.7432827717528,69.79000091552734,38.2576244091767,33.82231866450824,42.77580890750894,70.12999725341797,2024-07-22,30
59.46297931098529,59.46297931098529,28.506604509647588,0.0,0.0,8.93810065342343,66.06986499596884,71.02999877929688,11.567019468311585,7.197384317765665,16.135484971189094,70.12999725341797,2024-07-22,60
